,name,price,mrp,discount,product_id
20,"Floral Dark Green Color Bandhani Print Soft Chiffon Anarkali Gown
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/floral-dark-green-color-bandhani-print-soft-chiffon-three-piece-anarkali-gown
21,"Floral Navy Blue Color Pure Soft Georgette Anarkali Suit
","1,999.00","7,999.00","     75 
",https://tanhai.in/collections/anarkali-suit/products/floral-navy-blue-color-three-piece-anarkali-suit
22,"Floral Navy Blue Color Pure Soft Georgette Anarkali Suit
","1,999.00","7,999.00",NA,https://tanhai.in/collections/anarkali-suit/products/floral-pink-color-bandhani-print-soft-georgette-three-piece-anarkali-gown
23,"Rugee In Our Floral Print Organza Black Color Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/floral-print-soft-organza-silk-black-color-three-piece-anarkali-suit-1
24,"Green Color Printed Tebby Organza Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/green-color-printed-tebby-organza-three-piece-anarkali-suit-1
25,"Isha Sharma Stylish Neck Design Soft Georgette Floral Pink Color Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/isha-sharma-stylish-neck-design-soft-georgette-floral-pink-color-three-piece-anarkali-suit
26,"Kajal & Shilpa Chaudhary Sister Black Colour Anarkali Three Piece Suit
","1,999.00","7,999.00","     75 
",https://tanhai.in/collections/anarkali-suit/products/kajal-shilpa-chaudhary-sister-black-colour-anarkali-three-piece-suit
27,"Maroon Color Georgette Three Layer Ruffle Style Anarkali Suit
","2,199.00","6,780.00","     68 
",https://tanhai.in/collections/anarkali-suit/products/kalamkari-maroon-color-three-layer-anarkali-suit
28,"Kanak Mishra In Green Color Georgette Anarkali Three Piece Suit
","2,199.00","7,999.00","     73 
",https://tanhai.in/collections/anarkali-suit/products/kanak-mishra-in-green-color-georgette-anarkali-three-piece-suit
29,"Kanak Mishra in Onion Colour Anarkali Three Piece Suit
","1,999.00","7,999.00","     75 
",https://tanhai.in/collections/anarkali-suit/products/kanak-mishra-in-onion-colour-anarkali-three-piece-suit
30,"Kanak Mishra In Maroon Color Georgette Anarkali Three Piece Suit
","2,199.00","7,999.00","     73 
",https://tanhai.in/collections/anarkali-suit/products/kanak-mishra-in-red-color-georgette-anarkali-three-piece-suit
31,"Khushi Verma in Black Colour Backless Anarkali Three Piece Suit
","2,299.00","7,999.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/khushi-verma-in-black-colour-backless-anarkali-three-piece-suit
32,"Kiran Rana in Green Colour Printe Floor Length Two Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/kiran-rana-in-green-colour-printe-floor-length-three-piece-anarkali-suit
33,"Lavender Color Georgette Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/lavender-color-georgette-three-piece-anarkali-suit
34,"Light Chocolate Color Floral Print Soft Organza Silk Kali Cut Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/light-chocolate-color-floral-print-soft-organza-silk-anarkali-suit
35,"Maroon Color Georgette Anarkali With Embroidered Dupatta
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/maroon-color-georgette-anarkali-with-embroidered-dupatta
36,"Maroon Color Georgette Anarkali With Embroidered Dupatta
","1,999.00","6,780.00",NA,https://tanhai.in/collections/anarkali-suit/products/mehak-qudora-black-floral-print-organza-three-piece-anarkali-suit
37,"Green Color Georgette Three Piece Anarkali Suit
","2,199.00","6,780.00","     68 
",https://tanhai.in/collections/anarkali-suit/products/mehndi-color-georgette-three-piece-anarkali-suit
38,"Navy Blue Color Printed Tebby Organza Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/navy-blue-color-printed-tebby-organza-three-piece-anarkali-suit
39,"Neon Color Floral Print Organza Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/neon-color-floral-print-organza-three-piece-anarkali-suit
40,"Neon Color Soft Georgette Anarkali Gown With Floral Printed Dupatta
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/neon-color-soft-georgette-anarkali-gown-with-floral-printed-dupatta
41,"Sky Blue Color Georgette Three Layer Ruffle Style Anarkali Suit
","2,199.00","6,780.00","     68 
",https://tanhai.in/collections/anarkali-suit/products/new-design-printed-sky-color-three-layer-anarkali-suit
